0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:16:44 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:09 +0530] "GET /ORSProj3/doc/in/co/rays/ORSProj3/controller/WelcomeCtl.html HTTP/1.1" 200 18221
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:09 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:27 +0530] "GET /ORSProj3/doc/in/co/rays/ORSProj3/dto/DropdownList.html HTTP/1.1" 200 10138
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:27 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:37 +0530] "GET /ORSProj3/doc/in/co/rays/ORSProj3/controller/package-frame.html HTTP/1.1" 200 4695
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:37 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:43 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:46 +0530] "GET /ORSProj3/doc/in/co/rays/ORSProj3/controller/LoginCtl.html HTTP/1.1" 200 25170
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:17:46 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:49 +0530] "GET /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 14758
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:54 +0530] "POST /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 13888
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:56 +0530] "POST /ORSProj3/ctl/StudentListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:56 +0530] "GET /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 14758
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:18:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:01 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:09 +0530] "GET /ORSProj3/LoginCtl?operation=logout HTTP/1.1" 200 5691
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:11 +0530] "GET /ORSProj3/ForgetPasswordCtl HTTP/1.1" 200 4712
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:16 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:27 +0530] "GET /ORSProj3/UserRegistrationCtl HTTP/1.1" 200 8019
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:31 +0530] "GET /ORSProj3/LoginCtl HTTP/1.1" 200 5482
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:37 +0530] "POST /ORSProj3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:37 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:41 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:19:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:20:58 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:20:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:21:50 +0530] "GET /ORSProj3/ctl/CollegeCtl HTTP/1.1" 200 11236
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:21:54 +0530] "GET /ORSProj3/ctl/CollegeListCtl HTTP/1.1" 200 14255
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:21:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:21:58 +0530] "GET /ORSProj3/ctl/RoleCtl HTTP/1.1" 200 10459
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:02 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 13307
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:06 +0530] "GET /ORSProj3/ctl/StudentCtl HTTP/1.1" 200 12905
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:11 +0530] "GET /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 14758
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:15 +0530] "GET /ORSProj3/ctl/MarksheetCtl HTTP/1.1" 200 12471
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:18 +0530] "GET /ORSProj3/ctl/MarksheetListCtl HTTP/1.1" 200 14762
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:22 +0530] "GET /ORSProj3/ctl/GetMarksheetCtl HTTP/1.1" 200 9967
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:22:27 +0530] "POST /ORSProj3/ctl/GetMarksheetCtl HTTP/1.1" 200 11826
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:23:33 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:23:33 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:23:33 +0530] "GET /ORSProj3/doc/resources/fonts/dejavu.css HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:23:41 +0530] "GET /ORSProj3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 11272
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:23:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:24:59 +0530] "GET /ORSProj3/ctl/MyProfileCtl HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:24:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:25:03 +0530] "POST /ORSProj3/ctl/MyProfileCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:25:03 +0530] "GET /ORSProj3/ctl/ChangePasswordCtl HTTP/1.1" 200 11091
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:25:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [14/Feb/2022:19:25:11 +0530] "GET /ORSProj3/LoginCtl?operation=logout HTTP/1.1" 200 5691
