0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:59 +0530] "POST /ORSProj3/ctl/CollegeListCtl HTTP/1.1" 200 13841
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:43:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:03 +0530] "POST /ORSProj3/ctl/CollegeListCtl HTTP/1.1" 200 10108
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:08 +0530] "POST /ORSProj3/ctl/CollegeListCtl HTTP/1.1" 200 10107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:13 +0530] "GET /ORSProj3/ctl/RoleListCtl HTTP/1.1" 200 12649
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:26 +0530] "GET /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 13939
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:30 +0530] "POST /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 10111
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:32 +0530] "POST /ORSProj3/ctl/StudentListCtl HTTP/1.1" 200 10109
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:36 +0530] "GET /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 13540
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:47 +0530] "GET /ORSProj3/ctl/CourseListCtl HTTP/1.1" 200 13540
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:49 +0530] "GET /ORSProj3/ctl/SubjectListCtl HTTP/1.1" 200 13125
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:55 +0530] "GET /ORSProj3/ctl/FacultyListCtl HTTP/1.1" 200 13157
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:44:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:45:10 +0530] "GET /ORSProj3/ctl/TimeTableListCtl HTTP/1.1" 200 14256
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:45:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:45:16 +0530] "POST /ORSProj3/ctl/TimeTableListCtl HTTP/1.1" 200 10701
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:45:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:46:14 +0530] "GET /ORSProj3/ctl/MyProfileCtl HTTP/1.1" 200 12823
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:46:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:48:36 +0530] "POST /ORSProj3/ctl/MyProfileCtl HTTP/1.1" 200 13069
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:48:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:49:57 +0530] "POST /ORSProj3/ctl/MyProfileCtl HTTP/1.1" 200 13069
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:49:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:50:04 +0530] "GET /ORSProj3/WelcomeCtl HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:50:07 +0530] "GET /ORSProj3/ctl/MyProfileCtl HTTP/1.1" 200 12820
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:50:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:18:50:18 +0530] "GET /ORSProj3/LoginCtl?operation=logout HTTP/1.1" 200 5691
